File_Name,Max_Time
GaCo01_01,121.1715
GaCo02_01,121.1715
GaCo02_02,121.1715
GaCo03_01,121.1715
GaCo03_02,121.1715
GaCo04_01,121.1715
GaCo04_02,121.1715
GaCo05_01,121.1715
GaCo05_02,121.1715
GaCo06_01,121.1715
GaCo06_02,116.1719
GaCo07_01,121.1715
GaCo07_02,121.1715
GaCo08_01,121.1715
GaCo08_02,121.1715
GaCo09_01,121.1715
GaCo09_02,121.1715
GaCo10_01,121.1715
GaCo10_02,121.1715
GaCo11_01,121.1715
GaCo12_01,121.1715
GaCo13_01,121.1715
GaCo13_02,121.1715
GaCo13_10,115.4619
GaCo14_01,121.1715
GaCo14_02,121.1715
GaCo14_10,121.1715
GaCo15_01,121.1715
GaCo15_02,121.1715
GaCo15_10,121.1715
GaCo16_01,121.1715
GaCo16_02,121.1715
GaCo16_10,51.2364
GaCo17_01,121.1715
GaCo17_02,121.1715
GaCo17_10,121.1715
GaCo22_01,121.1715
GaCo22_10,121.1715
GaPt03_01,121.1715
GaPt04_01,121.1715
GaPt05_01,121.1715
GaPt06_01,121.1715
GaPt07_01,121.1715
GaPt07_02,121.1715
GaPt08_01,121.1715
GaPt08_02,121.1715
GaPt09_01,121.1715
GaPt09_02,121.1715
GaPt12_01,121.1715
GaPt12_02,121.1715
GaPt13_01,121.1715
GaPt13_02,121.1715
GaPt13_10,121.1715
GaPt14_01,121.1715
GaPt14_02,121.1715
GaPt14_10,121.1715
GaPt15_01,121.1715
GaPt15_02,121.1715
GaPt15_10,121.1715
GaPt16_01,121.1715
GaPt16_02,121.1715
GaPt16_10,121.1715
GaPt17_01,121.1715
GaPt17_02,121.1715
GaPt17_10,121.1715
GaPt18_01,121.1715
GaPt18_02,121.1715
GaPt18_10,121.1715
GaPt19_01,121.1715
GaPt19_02,121.1715
GaPt19_10,121.1715
GaPt20_01,121.1715
GaPt20_02,121.1715
GaPt20_10,121.1715
GaPt21_01,121.1715
GaPt21_02,121.1715
GaPt21_10,121.1715
GaPt22_01,121.1715
GaPt22_02,121.1715
GaPt22_10,121.1715
GaPt23_01,121.1715
GaPt23_02,121.1715
GaPt23_10,121.1715
GaPt24_01,121.1715
GaPt24_02,121.1715
GaPt24_10,121.1715
GaPt25_01,121.1715
GaPt25_02,121.1715
GaPt25_10,121.1715
GaPt26_01,121.1715
GaPt26_02,121.1715
GaPt26_10,121.1715
GaPt27_01,121.1715
GaPt27_02,121.1715
GaPt27_10,121.1715
GaPt28_01,121.1715
GaPt28_02,121.1715
GaPt28_10,121.1715
GaPt29_01,121.1715
GaPt29_02,121.1715
GaPt29_10,121.1715
GaPt30_01,121.1715
GaPt30_02,121.1715
GaPt30_10,121.1715
GaPt31_01,121.1715
GaPt31_02,121.1715
GaPt31_10,121.1715
GaPt32_01,121.1715
GaPt32_02,121.1715
GaPt32_10,121.1715
GaPt33_01,121.1715
GaPt33_02,121.1715
GaPt33_10,121.1715
JuCo01_01,53.4763
JuCo02_01,40.3272
JuCo03_01,40.5172
JuCo04_01,91.9436
JuCo05_01,88.6338
JuCo06_01,115.2119
JuCo07_01,80.3044
JuCo08_01,84.6141
JuCo09_01,77.6946
JuCo11_01,90.3237
JuCo12_01,96.3933
JuCo13_01,90.1037
JuCo14_01,79.1145
JuCo15_01,90.8436
JuCo16_01,76.0547
JuCo17_01,71.505
JuCo18_01,90.0937
JuCo19_01,85.464
JuCo20_01,106.8325
JuCo21_01,95.2133
JuCo22_01,96.5032
JuCo23_01,98.7231
JuCo24_01,81.7843
JuCo25_01,84.9041
JuCo26_01,82.2642
JuPt01_01,82.2642
JuPt01_02,52.9563
JuPt01_03,53.5263
JuPt01_04,49.8365
JuPt01_05,48.2266
JuPt01_06,49.2566
JuPt02_01,55.0361
JuPt03_01,53.8362
JuPt03_02,47.2767
JuPt03_03,46.7767
JuPt03_04,48.1266
JuPt03_05,48.0166
JuPt03_06,47.7467
JuPt03_07,47.5967
JuPt04_01,62.8456
JuPt05_01,44.1769
JuPt06_01,68.8452
JuPt06_02,66.2154
JuPt06_03,60.8157
JuPt06_04,58.5359
JuPt06_05,61.1157
JuPt06_06,62.3756
JuPt06_07,62.3656
JuPt07_01,45.7368
JuPt08_01,43.6169
JuPt09_01,98.3331
JuPt09_02,93.7234
JuPt09_03,90.5037
JuPt09_04,87.6339
JuPt09_05,85.454
JuPt10_01,93.6834
JuPt10_02,97.0532
JuPt10_03,92.6335
JuPt10_04,93.2235
JuPt10_05,94.5834
JuPt10_06,96.2433
JuPt10_07,92.5735
JuPt11_01,135.7205
JuPt11_02,142.18
JuPt11_03,137.9903
JuPt11_04,127.0911
JuPt11_05,123.7813
JuPt11_06,123.2214
JuPt11_07,113.1421
JuPt12_01,98.5631
JuPt13_01,163.7585
JuPt14_01,118.3917
JuPt15_01,96.5032
JuPt15_02,95.3433
JuPt15_03,86.4939
JuPt15_04,86.6639
JuPt15_05,87.1539
JuPt15_06,87.1939
JuPt15_07,84.9941
JuPt16_01,142.82
JuPt17_01,97.3532
JuPt18_01,263.6315
JuPt19_01,93.0435
JuPt20_01,94.3834
JuPt20_02,90.2437
JuPt20_03,86.9539
JuPt20_04,90.0337
JuPt20_05,92.3835
JuPt20_06,88.8438
JuPt20_07,88.1538
JuPt21_01,178.1175
JuPt21_02,168.9482
JuPt21_03,162.3886
JuPt21_04,155.1691
JuPt21_05,162.7486
JuPt21_06,150.2995
JuPt21_07,161.8487
JuPt22_01,85.754
JuPt23_01,86.7839
JuPt23_02,91.5836
JuPt23_03,83.8941
JuPt23_04,78.7945
JuPt23_05,79.2645
JuPt23_06,74.9248
JuPt23_07,72.4949
JuPt24_01,122.0315
JuPt24_02,111.7022
JuPt25_01,97.8132
JuPt26_01,116.0119
JuPt26_03,107.2425
JuPt26_04,106.0226
JuPt26_05,105.7026
JuPt26_06,100.8529
JuPt26_07,100.133
JuPt27_01,101.0929
JuPt28_01,94.4834
JuPt28_02,87.3339
JuPt28_03,85.484
JuPt28_04,91.8236
JuPt28_05,86.9839
JuPt28_06,90.3337
JuPt28_07,88.0938
JuPt29_01,105.8126
JuPt29_02,81.7443
JuPt29_03,81.7443
JuPt29_04,82.3242
JuPt29_05,82.8242
JuPt29_06,84.5241
JuPt29_07,90.6337
SiCo01_01,121.1715
SiCo03_01,121.1715
SiCo04_01,121.1715
SiCo05_01,121.1715
SiCo06_01,121.1715
SiCo07_01,121.1715
SiCo08_01,121.1715
SiCo09_01,121.1715
SiCo10_01,121.1715
SiCo11_01,121.1715
SiCo12_01,121.1715
SiCo13_01,121.1715
SiCo14_01,121.1715
SiCo15_01,121.1715
SiCo16_01,121.1715
SiCo17_01,121.1715
SiCo18_01,121.1715
SiCo19_01,121.1715
SiCo20_01,121.1715
SiCo21_01,121.1715
SiCo22_01,121.1715
SiCo23_01,121.1715
SiCo24_01,121.1715
SiCo25_01,121.1715
SiCo26_01,121.1715
SiCo27_01,121.1715
SiCo28_01,121.1715
SiCo29_01,121.1715
SiCo30_01,121.1715
SiPt02_01,121.1715
SiPt04_01,121.1715
SiPt05_01,121.1715
SiPt07_01,121.1715
SiPt08_01,121.1715
SiPt09_01,121.1715
SiPt10_01,121.1715
SiPt12_01,121.1715
SiPt13_01,121.1715
SiPt14_01,121.1715
SiPt15_01,121.1715
SiPt16_01,121.1715
SiPt17_01,121.1715
SiPt18_01,121.1715
SiPt19_01,121.1715
SiPt20_01,121.1715
SiPt21_01,121.1715
SiPt22_01,121.1715
SiPt23_01,121.1715
SiPt24_01,121.1715
SiPt25_01,121.1715
SiPt27_01,121.1715
SiPt28_01,121.1715
SiPt29_01,121.1715
SiPt30_01,121.1715
SiPt31_01,121.1715
SiPt32_01,121.1715
SiPt33_01,121.1715
SiPt34_01,121.1715
SiPt35_01,121.1715
SiPt36_01,121.1715
SiPt37_01,121.1715
SiPt38_01,121.1715
SiPt39_01,121.1715
SiPt40_01,121.1715
